CD, CTs in Cluster 
1,1004900 1005501 1006500 1005900 
1,1031703 1031704 1001300 1001502 1002100 1000100 
1,1005502 1004300 1003601 
1,1003900 1003300 1003100 
1,1001200 1001402 1003001 1001001 
1,1004700 1004500 1004100 
1,1031900 1000900 1000700 1000500 
1,1001501 1002900 1002500 
1,1001800 1001401 1001600 
1,1000600 1000800 1002700 1000201 
2,1005600 1005200 1006100 1005700 
2,1005000 1006400 1006800 1007400 
2,1002202 1003200 1004000 1003400 
2,1007000 1007200 1006600 
2,1002601 1003002 1003602 1003800 
2,1002000 1002400 1002602 1002800 
2,1002201 1001002 1000202 
2,1004200 1004800 
3,1009900 1011500 1011100 1010100 
3,1010900 1010300 1009500 1009100 
3,1013300 1012700 1012100 1012900 1011700 
3,1003700 1006700 1007300 1007700 1008300 
3,1008900 1008100 1006300 1007100 
3,1014500 1013900 1013500 
3,1005800 1005400 1008700 
3,1006900 1007500 1007900 
3,1011900 1011300 
3,1009700 1009300 
4,1009800 1009000 1008800 1007800 
4,1015002 1014801 1014000 1012800 
4,1013100 1010400 1009600 1008200 1012500 
4,1011203 1010000 1009200 1008000 
4,1011201 1011401 1012200 1012000 1013700 
4,1006200 1006000 1004400 
4,1014802 1015801 1016001 1016002 
4,1008601 1008602 1008603 
4,1007600 1008400 1009400 
4,1015001 1014200 1013000 
4,1011402 1011202 1010200 
5,1011000 1010602 1011800 1012400 
5,1013400 1013800 1013600 1014601 1014401 
5,1015601 1015400 1014602 1014402 1015802 1015200 
5,1011600 1012600 1013200 
5,1023802 1023801 
5,1010800 1010601 
6,1019500 1019100 1018700 1018300 
6,1014900 1015100 1015500 1014700 
6,1014300 1015300 1015700 
6,1018100 1017900 1017700 
6,1017500 1017300 1016900 
6,1015900 1016100 1016500 
6,1017100 1016700 1016300 
7,1020901 1021900 1022301 1022500 1022302 
7,1020101 1019900 1019300 1018900 1018500 
7,1023300 1023700 1024100 1024500 1024700 1023900 
7,1021100 1019701 1020701 
7,1022700 1022900 
7,1020500 1020300 
8,1018000 1018800 1017800 1019400 1017000 
8,2004100 2004300 2007300 2003500 2003100 2003700 2008500 
8,2002701 2002500 2002300 2005100 
8,2003300 2003900 2002702 
8,1016400 1015602 1016200 
8,1016600 1016800 1017200 
8,2019500 2006300 2018900 
8,1024000 1019200 1024200 
8,1018200 1017402 
9,1019800 1020800 1022600 1021500 1019600 
9,1023000 1023200 1023400 1023502 
9,1020600 1021000 1023600 1024302 
9,1022102 1022800 1021200 1021400 
9,1020102 1021800 1022000 1022200 1019000 
9,1025700 1022400 1020000 1018400 
9,1025900 1023100 1023501 
9,1019702 1021600 1018600 1017401 
9,1021703 1021303 
10,1025100 1025300 1026100 1027100 1027900 
10,1027700 1026900 1026300 1025500 1026500 1026700 
10,1031100 1028300 1028500 
10,1029700 1028700 1029100 
10,1029900 1030300 1029300 1030700 1029500 1030900 
10,1027500 1027300 1028100 
10,1024301 1024900 
11,2030100 2030701 2033500 2033700 
11,2029500 2029700 2029302 2029301 
11,2027900 2028100 2040900 2041100 
11,2028500 2028700 2028300 2028900 
11,2043500 2044901 2044902 
11,2044200 2041400 2043400 
11,2030900 2032300 2031900 
11,2034300 2034500 2035100 
11,2045102 2045101 2041800 
11,2042500 2041500 2041300 
11,2041900 2042100 2042300 
11,2043100 2042901 2042902 
12,2045800 2038600 2038800 2039600 
12,2043000 2042400 2042200 2042000 
12,2034200 2037200 2038000 2038200 
12,2035000 2036400 2036800 2037000 
12,2039400 2039200 2037800 2039000 
12,2044800 2042800 2042600 2048400 
12,2046000 2046202 2046201 2030200 
12,2040400 2039800 2040600 2040800 
12,2035600 2035800 
12,2044400 2043600 
12,2037400 2037600 
12,2034800 2034400 
13,2025200 2024600 2025000 2028800 
13,2022404 2022401 2033000 2034000 
13,2045600 2050400 2027600 
13,2036000 2031000 2031200 2031400 
13,2013800 2016000 2016200 2015800 2013000 
13,2023800 2025600 2025400 2028600 
13,2009600 2020000 2028400 
13,2019400 2026400 2018400 
13,2032800 2032400 2024800 
13,2011800 2013200 2014400 
13,2011000 2015200 2016600 
13,2027402 2027401 2016400 2051600 
13,2029600 2031800 2031600 2032600 
13,2026602 2026601 2030000 
13,2023200 2024400 
13,2022800 2022403 
14,2024501 2024502 2025100 2025300 
14,2024100 2023704 2023900 2026500 
14,2027700 2027300 2026900 2026300 
14,2021700 2024300 2023301 2023501 2021301 
14,2022300 2020900 2022702 2022701 
14,2021502 2021501 2020502 
14,2024900 2025500 2025700 
14,2026702 2026701 2026100 
14,2040701 2040303 2040304 
14,2023703 2040100 
15,2022703 2022902 2023100 2039500 
15,2033800 2033600 2033202 2033201 
15,2037504 2038700 2038500 2039700 
15,2024000 2022000 2023600 2023000 
15,2039300 2038900 2039100 2037300 2037100 
15,2036501 2033400 2036100 
15,2016500 2022901 2023302 
15,2023702 2039902 2039901 
15,2038301 2038302 2037900 
15,2040702 2040302 2040501 2040502 
15,2038100 2023502 
16,2020501 2021100 2021900 2022101 2021302 
16,2017500 2017901 2017701 2017702 2017300 
16,2013300 2013500 2014900 2014702 
16,2018500 2014500 2014701 
16,2018301 2005902 2018302 2018101 
16,2017100 2016700 2016900 
16,2019300 2019900 2020100 
16,2022500 2022102 2017902 
16,2024700 2005300 
16,2019700 2018102 
17,2005200 2011502 2009300 2008900 
17,2001900 2008300 2007900 2008700 
17,2015500 2012300 2015700 2005400 2006000 
17,2036300 2035900 2036502 
17,2015100 2015300 2012500 
17,2006100 2006500 2006700 2006900 
17,2014100 2007100 2007500 2014300 
17,2007700 2012901 2015900 
17,2013100 2012701 2012101 
17,2016300 2016100 2036700 
17,2011700 2002800 
17,2036902 2036901 
17,2012102 2011900 
18,2004600 2004400 2004800 2005001 2003800 2005002 
18,2021800 2021601 2007600 2007000 
18,2005600 2006200 2006400 2006800 
18,2022200 2021001 2020400 2020200 
18,2002000 2004200 2009800 2007400 2004001 2002400 
18,2020601 2009200 2007800 2007200 
18,2021602 2021200 2021002 
18,2000400 2000200 2001600 
18,2009000 2008600 2008400 
19,4104700 4105900 4103300 4102900 4114100 
19,4103900 4094500 4093900 4092900 4092500 
19,4145900 4119300 4117500 4118100 4119500 
19,4109900 4112900 4146700 4112300 
19,4091900 4090700 4094700 
19,4111300 4109300 4109700 
19,4147100 4144700 4145102 4145101 
19,4148300 4147900 4150702 4150701 
19,4117100 4115100 4114700 
19,4097300 4098100 4098700 
19,4099705 4099704 4108500 
19,4099100 4099701 4101700 
19,4146300 4113300 4113900 
19,4099703 4099900 
20,4083700 4120300 4120100 4086100 4085500 4084500 
20,4118900 4118700 4116700 4115700 4115500 4118500 
20,4119100 4119900 4120700 4141700 
20,4120500 4085900 4085700 4085300 4084900 
20,4087100 4086500 4086300 4116300 
20,4088901 4086900 4116100 4115900 
20,4140902 4140901 4142900 
20,4079701 4079702 4079900 4080301 
20,4121500 4121100 
21,4040500 4041300 4040900 4037500 
21,4036300 4036700 4035700 4034700 
21,4036500 4037900 4040300 4041500 
21,4038302 4033100 4037100 4038301 
21,4044302 4045500 4044301 
21,4041100 4040700 4037700 
21,4027300 4035300 4036100 4046500 
21,4040100 4039900 4038100 4037300 
21,4042700 4043701 4043900 4043702 
22,4015100 4014900 4015500 4006300 
22,4005300 4006100 4007300 4007900 
22,4005900 4007500 4004500 4007700 
22,4014300 4006502 4006501 4006900 
22,4008300 4009100 4009500 4009700 4008700 
22,4010500 4010300 4011300 4011900 
22,4007100 4012500 4011700 4012100 
22,4013500 4031700 4030904 4032900 
22,4029700 4029900 4013700 
22,4009900 4010100 4011500 
22,4010701 4011100 4012301 2000100 
22,4014100 4014500 4014700 
23,4162100 4157102 4157101 4155102 
23,4048400 4047800 4049200 4055200 4048200 4047600 
23,4157901 4157902 4157903 4161700 
23,4136700 4140300 4143500 4144100 
23,4138502 4156700 4152901 
23,4128300 4129102 4129103 
23,4129104 4130100 4055400 
23,4056200 4056000 4055600 4055800 
23,4056400 4056600 4054200 
23,4137700 4138501 4139900 
23,4152902 4155101 
23,4134700 4133300 
23,4054800 4049600 
24,4044601 4044602 4044800 4045000 
24,4045600 4046400 4046600 4047200 
24,4077907 4077908 4077904 4125700 
24,4077903 4077905 4022002 4023200 4077902 4126500 
24,4022001 4021400 4024000 4023800 4021200 
24,4077906 4122702 4122701 4124100 
24,4080302 4079300 4080900 
24,4127700 4126700 4133900 
24,4134100 4124700 4122300 
24,4045800 4045400 4045200 
24,4023000 4023600 
25,4045900 4047300 4047900 4047500 4049900 
25,4030902 4030903 4028300 
25,4026500 4026700 4026901 
25,4033700 4028100 4027900 
25,4046100 4047100 4046700 4046300 
25,4033900 4035100 4027500 
25,4048500 4048100 4026902 
25,4029100 4028900 4028700 
25,4046900 4027100 4027700 
25,4068300 4045700 
25,4032700 4028500 
26,4016100 4015900 4015700 4005700 4005500 
26,4024700 4024900 4025900 4025100 4024500 4048300 
26,4025301 4018300 4023500 4018501 4018700 
26,4003700 4003900 4008500 4008100 
26,4000100 4017100 4003100 
26,4004300 4003300 4005100 4004700 
26,4029500 4025500 4025700 
26,4029300 4026300 4026100 
26,4019900 4018900 4018101 4017900 
26,4000700 4001900 4002500 
26,4016300 4015300 
26,4016900 4025302 
26,4018502 4018102 
27,4046000 4046200 4046800 4047000 
27,4025800 4043400 4042400 4036600 
27,4040000 4040200 4050400 4050600 4052000 4040400 
27,4028200 4028400 4033401 4036800 4035200 
27,4048000 4050000 4051200 4054000 
27,4053601 4053800 4053401 4038400 4051600 
27,4051800 4050800 4053200 4053000 
27,4059000 4058200 4058000 4056800 4059800 
27,4052600 4039800 4039400 4037600 
27,4059200 4062200 4060600 4061000 4061400 
27,4052800 4052200 4052400 
27,4026400 4026600 4028000 
27,4020800 4024600 4044400 
27,4050201 4050202 4051000 
27,4061200 4060800 4059600 
27,4042600 4043200 
27,4044000 4041400 
27,4060000 4059400 
28,4019200 4017400 4016800 4017000 4017200 
28,4018200 4079000 4081400 4079200 
28,4009600 4009800 4010400 4010200 4010000 
28,4014800 4015000 4015400 4015600 4015802 
28,4015801 4016400 4016600 4010600 
28,4033402 4029400 4028800 4027600 
28,4019000 4018402 4018600 4017600 
28,4027800 4027400 4027000 4027200 
28,4011000 4010800 4012000 4012400 4012601 
28,4018000 4084000 4081800 4084602 
28,4011800 4011600 4011400 
28,4025400 4020400 4019800 
28,4020600 4020200 4019400 4015200 
28,4026200 4026000 4019600 
28,4018401 4078800 
28,4017800 4018800 
29,4070300 4071100 4071306 4071304 
29,4068700 4069300 4069500 4069702 4069701 
29,4071702 4071701 4072100 4074300 
29,4070900 4072300 4073100 4064500 
29,4074900 4076901 4075702 4074700 
29,4013800 4014000 4013200 4013400 4012200 
29,4076902 4075701 4073700 4073900 4077300 
29,4021600 4077500 4013600 
29,4014202 4014201 4014400 
29,4071305 4071303 4074100 
29,4050500 4067900 
29,4074500 4071900 
29,4070700 4072900 
30,4062100 4061900 4062500 4061301 4063301 
30,4066701 4049500 4051100 4051300 4051700 
30,4024300 4048900 4049301 4049302 4049700 4051500 
30,4058100 4058500 4058900 4059300 4058700 4060300 4058300 4059100 
30,4022900 4021900 4052500 4020500 
30,4050700 4066900 4067100 
30,4056100 4064102 4063500 4063900 4064101 
30,4059500 4060100 4059900 
30,4000200 4000400 4000600 
30,4066300 4066501 4065900 
30,4065501 4063700 4063302 
30,4053500 4053100 4052100 
30,4056500 4056700 4057700 
30,4062900 4062300 4061302 
30,4060701 4065702 4065703 
30,4057900 4062700 
30,4067700 4066100 
31,4033000 4032800 4035800 
31,4094202 4095400 4096400 
31,4097202 4099200 4099801 4099802 
31,4107202 4071600 4066400 
31,4100801 4100802 4103201 
31,4061602 4063800 4064600 
31,4061601 4062000 4063000 
31,4030600 4032000 4069000 
31,4101002 4101001 4103202 
31,4065600 4065400 4066000 4069400 
31,4068200 4068000 4065000 
31,4062600 4062400 
31,4097203 4097204 
31,4063200 4061800 
32,4002600 4002400 4003000 4003200 
32,4093402 4093800 4094201 4094203 4107201 
32,4009400 4011200 4003800 4004200 4004002 
32,4008600 4086400 4008800 4088400 
32,4091602 4091601 4091800 
32,4006202 4005800 4005400 
32,4002200 4001400 4001000 4002800 4001200 
32,4004001 4005200 4004401 4005000 
32,4003400 4000800 4001600 4003600 
32,4013000 4012800 4012602 
32,4092200 4092800 4093401 
32,4089200 4006201 
32,4084601 4083800 
32,4002000 4001800 
33,3006900 3004300 3004100 3003900 3000900 
33,3002100 3001300 3000502 3000501 
33,3050700 3053100 3053700 3123700 
33,3054500 3053500 3053300 3050900 3052900 3054700 
33,3059300 3058900 3059100 3049900 
33,3001500 3003700 3001100 
33,3000100 3000301 3000700 
33,3055700 3055500 3055300 
33,3051500 3051900 3051700 
33,3056500 3056300 3057500 
33,3057900 3057300 3056900 
33,3024100 3023500 
33,3054300 3053900 
33,3056100 3057100 
33,3012700 3007100 
34,3039900 3041900 3042100 3042900 3039700 
34,3045300 3044700 3042700 3042300 3042500 
34,4053900 4054500 4054700 4054900 3044500 
34,3048500 3048100 3049700 3050300 
34,3049100 3050500 3051100 3052700 3049500 
34,4055900 4055700 4055100 4055300 4055500 
34,3041700 3039500 3039300 3039100 
34,3049300 3048900 3038900 
34,3051300 3052500 3052300 
34,3050100 3047700 3044900 
34,3055100 3054900 
35,3003100 3018300 3019700 3020100 3002901 
35,3021100 3018501 3018700 3019500 3002300 
35,3018100 3003500 3017900 3016300 3016100 3003300 
35,3033100 3035500 3035300 3033700 3035100 
35,3019900 3020300 3020500 3030500 
35,3033300 3033500 3031900 3032100 
35,3023300 3023100 3019300 3019100 3022900 
35,3020700 3021500 3021700 
35,3022100 3021900 3031702 3033900 
35,3032300 3032500 3021300 
36,3030900 3027100 3024700 3022700 3034700 3029900 
36,3031500 3031701 3031300 3031100 
36,3026300 3028100 3029100 3028900 3026100 
36,3028300 3025901 3025700 3025500 3028700 
36,3024500 3024300 3024900 3026900 
36,3038700 3029300 3027700 3029500 
36,3025300 3025100 3026500 3027900 
36,3029700 3027300 3027500 3026700 
36,3034500 3034300 3034100 
36,3028501 3028502 3025902 
37,3040900 3043700 3041500 3043500 
37,3043100 3043300 3044100 3043900 3044300 
37,3114202 3114201 3114600 
37,3118202 3118000 3117201 
37,3114400 3119800 3115200 3090800 
37,3120200 3118800 3119000 
37,3118600 3117800 3117602 
37,3036502 3036900 3040300 3040100 
37,3040700 3041100 3041300 
37,3115000 3116600 3117000 
37,3119200 3116800 3117202 
37,3118400 3118201 
37,3040500 3036700 
37,3117601 3117400 
38,3009400 3009800 3009600 3009200 
38,3005300 3008500 3005900 
38,3011400 3010800 3011600 
38,3001800 3014300 3014700 
38,3025000 3025200 3024800 
38,3002200 3007200 3007400 
38,3012000 3012200 3010200 
38,3017500 3014500 3010100 
38,3011200 3009000 3008600 
38,3021400 3011800 3010400 
38,3008200 3008000 3007800 
38,3000200 3002000 3007600 
38,3021200 3019400 
38,3008800 3008400 
38,3010600 3010000 
39,3006700 3004500 3004900 3004700 3005100 
39,3049600 3049400 3049000 3048400 3048800 
39,3007500 3011900 3013700 
39,3017700 3015900 3013100 
39,3023000 3022800 3048600 3022400 
39,3050400 3050000 3150200 
39,3049800 3022600 3011000 
39,3014900 3016700 3015300 
39,3016900 3017100 3050202 
39,3007700 3006500 3006300 
39,3015700 3016500 3015500 
39,3011700 3012100 3013900 
39,3012902 3012901 
39,3013300 3013500 
39,3014100 3015100 
40,3032900 3080000 3080200 3082000 3032700 
40,3080400 3081800 3082400 3079200 3080600 
40,3051400 3051800 3052000 3052600 3048200 
40,3049200 3050600 3050801 3079602 
40,3082200 3079601 3079802 3079801 
40,3081000 3080800 3081600 
40,3152200 3051200 3051001 
40,3050804 3050803 
40,3051602 3051601 
40,3079400 3051002 
41,3088000 3088200 3088400 3088600 
41,3035700 3035900 3090000 3036100 3034900 
41,3036501 3030100 3037900 3037700 3038100 
41,3037500 3038500 3038300 
41,3091000 3091200 3092400 
41,3090600 3036300 3090200 
41,3087401 3087600 3087800 
41,3089800 3089400 3089200 
41,3081400 3087200 3087000 
41,3086800 3086600 3086400 
41,3037100 3037300 
41,3030700 3030300 
42,3122000 3121000 3119400 
42,3107000 3107800 3111000 
42,3116200 3112000 3112400 
42,3120800 3119600 3120000 3121400 
42,3088800 3093000 3092800 
42,3115800 3115600 3112600 3116000 
42,3091800 3092000 3091600 
42,3097400 3109800 3097000 3092200 
42,3116400 3111800 3111600 
42,3105804 3105801 3110400 3098200 3110600 3070203 
42,3113200 3113400 3113000 
42,3089000 3089600 
42,3112200 3112800 
43,3029200 3028600 3028200 
43,3029400 3030400 3031400 
43,3003400 3003800 3003600 
43,3004600 3004400 3006600 
43,3005601 3005602 3016200 
43,3027600 3017800 3028000 3017600 
43,3026200 3026400 3018800 
43,3021000 3020800 3012801 
43,3012600 3013400 3006400 
43,3007000 3006800 3003000 3013000 
43,3005202 3005400 3005800 
43,3019600 3020200 3020400 
43,3019000 3019800 3020000 
43,3016800 3016400 3015200 
43,3005201 3005000 3006000 
43,3020600 3014200 3013800 
43,3014000 3015400 3017000 
43,3017400 3017200 3018200 
43,3018600 3018400 3015000 3018000 
43,3016600 3014800 
43,3013600 3013200 
43,3016000 3006200 
44,3043600 3043400 3042600 3043000 3043200 
44,3045600 3045800 3046201 3047600 
44,3021600 3023800 3023600 3023400 
44,3041200 3042400 3043800 3044000 
44,3046202 3044800 3024600 3044600 3046800 
44,3047200 3047400 3046400 3048000 3047800 
44,3021800 3024000 3047000 3024400 
44,3045000 3045200 3044400 3044200 
44,3053200 3053400 3076800 3045400 
44,3041800 3042000 3042200 
44,3023200 3022200 3022000 
44,3042800 3027000 
44,3019200 3024200 
45,3094402 3094401 3094600 3093600 
45,3064800 3074600 3074800 3074400 3064600 
45,3084000 3083800 3083400 3083200 
45,3078600 3077600 3077400 3075000 3077000 
45,3078200 3078000 3083600 3093200 
45,3085000 3085400 3085600 3085800 
45,3093800 3086200 3084800 3084600 
45,3077200 3076600 3076400 3076200 
45,3073800 3073600 3074000 3074200 3065000 
45,3073000 3073200 3073400 3072600 
45,3076000 3075200 3075400 
45,3079000 3078800 3078400 
45,3082800 3083000 3082600 
45,3053000 3052800 3046000 
45,3096000 3093400 
45,3086000 3085200 
46,3057000 3056600 3056800 3063800 3057200 3057400 
46,3068000 3069200 3072000 3095000 3067800 
46,3099800 3100400 3099400 3099200 3099600 
46,3098600 3098800 3101400 3102200 3096800 
46,3066600 3062800 3063200 
46,3070600 3069602 3069000 3070000 
46,3070201 3069800 3067000 3068600 3070202 
46,3095800 3095600 3095400 
46,3064400 3064000 3063600 
46,3069601 3072200 3072800 3072400 
46,3101800 3103400 3102000 
46,3096200 3096400 3096600 
46,3067600 3067400 3065200 
46,3067200 3068200 3068800 
46,3102800 3102600 3100600 
46,3066200 3066000 3065400 
46,3101200 3099000 3100800 
46,3098400 3101600 
46,3102400 3101000 
46,3065800 3065600 
47,3028400 3027200 3026800 3027400 3026600 3027800 
47,3040600 3040000 3040200 3029800 3030000 3038200 3040400 
47,3026000 3025800 3025600 3025400 
47,3028800 3029000 3029600 3030200 
47,3035400 3037401 3039000 3039200 3035601 3034800 
47,3039400 3038800 3039600 3039800 
47,3035200 3034200 3032600 3033000 
47,3030600 3030800 3038600 3037402 
47,3041401 3041000 3040800 
47,3034000 3033600 3032800 
47,3041402 3041600 
48,3056000 3055000 3054600 3053800 
48,3059000 3060000 3060800 3036600 3061004 
48,3055800 3055600 3055200 3054200 
48,3036002 3036200 3061003 3036400 
48,3056200 3056400 3054800 3064200 
48,3061002 3061600 3062000 3061200 
48,3058600 3059200 3057800 3057600 
48,3059600 3062600 3059800 3062200 
48,3058400 3058200 3058000 
48,3037000 3058800 3060600 
48,3035602 3036001 3035000 
48,3075600 3075800 
48,3055400 3054400 
48,3059402 3059401 
49,5013301 5013302 5012500 5014100 5009700 
49,5000800 5000600 5002100 5000300 5002700 
49,5023900 5021300 5022300 5031902 5020700 
49,5030301 5030302 5023100 
49,5014700 5005900 5012100 
49,5008100 5006700 5010500 
49,5002001 5003600 5004000 
49,5016901 5004700 5002900 
49,5000700 5000900 5001100 
49,5003900 5003300 5001700 
49,5020100 5024700 
49,5032300 5031901 
49,5007500 5007700 
50,5019700 5025100 5029104 5029102 5029103 
50,5012200 5012804 5013400 5013201 5013800 
50,5017300 5018702 5018100 5027900 
50,5006400 5009601 5009602 5011401 
50,5027301 5027302 5018902 5018701 5027704 
50,5001800 5007400 5002002 
50,5011201 5011202 5011402 5007000 4990100 
50,5012805 5012806 
50,5017700 5005000 
50,5015100 5018901 
51,5017005 5015602 5014604 5014605 5020804 5017008 5014606 
51,5017012 5017009 5017010 5017007 5017011 
51,5020801 5020803 5022600 5024800 5024401 
51,5022800 5027702 5027705 5027706 
51,5024402 5019800 5017600 
51,5013204 5013203 5015601 
51,5015400 5015603 
51,5014608 5014607 
