,BoroCT,2011 Household Median Income
1113,1001300,114412
1114,1001401,86806
1115,1001402,29554
1116,1001501,62927
1117,1001502,126650
1118,1001600,27799
1119,1001800,42775
1120,1002000,18750
1121,1002100,205192
1122,1002201,41284
1123,1002202,89191
1124,1002400,25662
1125,1002500,16081
1126,1002601,35161
1127,1002602,50169
1128,1002700,51550
1129,1002800,41155
1130,1002900,27227
1131,1003001,59250
1132,1003002,41935
1133,1003100,135573
1134,1003200,54820
1135,1003300,164656
1136,1003400,63469
1137,1003601,39643
1138,1003602,55565
1139,1003700,75556
1140,1003800,54365
1141,1003900,77200
1142,1004000,81466
1143,1004100,28250
1144,1004200,118229
1145,1004300,67449
1146,1004400,88595
1147,1004500,133886
1148,1004700,88487
1149,1004800,90241
1150,1004900,92500
1151,1005000,109637
1152,1005200,152014
1153,1005400,150110
1154,1005501,100368
1155,1005502,116250
1156,1005600,120766
1157,1005700,139236
1158,1005800,138750
1159,1005900,95926
1160,1006000,101369
1161,1006100,116471
1162,1006200,71111
1163,1006300,114963
1164,1006400,85098
1165,1006500,71121
1166,1006600,74382
1167,1006700,74706
1168,1006800,98555
1169,1006900,156719
1170,1007000,105903
1171,1007100,118057
1172,1007200,91431
1173,1007300,104857
1174,1007400,134531
1175,1007500,107978
1176,1007600,76659
1177,1007700,85859
1178,1007800,112768
1179,1007900,132054
1180,1008000,115148
1181,1008100,94292
1182,1008200,106273
1183,1008300,49750
1184,1008400,129625
1185,1008601,127000
1186,1008602,-
1187,1008603,155417
1188,1008700,110642
1189,1008800,95095
1190,1008900,82500
1191,1009000,110982
1192,1009100,114655
1193,1009200,131786
1194,1009300,71862
1195,1009400,9750
1196,1009500,107375
1197,1009600,69250
1198,1009700,44611
1199,1009800,102817
1200,1009900,123631
1201,1010000,98977
1202,1010100,51827
1203,1010200,41010
1204,1010300,90938
1205,1010400,71618
1206,1010601,132475
1207,1010602,102981
1208,1010800,111339
1209,1010900,155278
1210,1011000,104835
1211,1011100,66513
1212,1011201,144659
1213,1011202,121250
1214,1011203,87675
1215,1011300,118487
1216,1011401,171000
1217,1011402,104911
1218,1011500,77796
1219,1011600,67962
1220,1011700,82188
1221,1011800,115556
1222,1011900,12430
1223,1012000,152353
1224,1012100,56764
1225,1012200,166071
1226,1012400,98514
1227,1012500,125787
1228,1012600,96789
1229,1012700,65045
1230,1012800,164688
1231,1012900,86875
1232,1013000,247167
1233,1013100,110147
1234,1013200,74014
1235,1013300,74063
1236,1013400,101900
1237,1013500,40231
1238,1013600,98179
1239,1013700,131250
1240,1013800,94622
1241,1013900,69175
1242,1014000,168661
1243,1014200,206708
1244,1014300,-
1245,1014401,128417
1246,1014402,82813
1247,1014500,157560
1248,1014601,100455
1249,1014602,94366
1250,1014700,96635
1251,1014801,158167
1252,1014802,104514
1253,1014900,142452
1254,1015001,125268
1255,1015002,172179
1256,1015100,77500
1257,1015200,82861
1258,1015300,123894
1259,1015400,81053
1260,1015500,109419
1261,1015601,86759
1262,1015602,44896
1263,1015700,95926
1264,1015801,141857
1265,1015802,83158
1266,1015900,115833
1267,1016001,184583
1268,1016002,82750
1269,1016100,120096
1270,1016200,29787
1271,1016300,103589
1272,1016400,31787
1273,1016500,122674
1274,1016600,37174
1275,1016700,108281
1276,1016800,28196
1277,1016900,106194
1278,1017000,41236
1279,1017100,129167
1280,1017200,33176
1281,1017300,103182
1282,1017401,24013
1283,1017402,31974
1284,1017500,133427
1285,1017700,50924
1286,1017800,33182
1287,1017900,75098
1288,1018000,23886
1289,1018100,77686
1290,1018200,28567
1291,1018300,75481
1292,1018400,25900
1293,1018500,80909
1294,1018600,19446
1295,1018700,68542
1296,1018800,31867
1297,1018900,33482
1298,1019000,55469
1299,1019100,88445
1300,1019200,16197
1301,1019300,34537
1302,1019400,17889
1303,1019500,88608
1304,1019600,15625
1305,1019701,107014
1306,1019702,57083
1307,1019800,70833
1308,1019900,57198
1309,1020000,64286
1310,1020101,57308
1311,1020102,40140
1312,1020300,26406
1313,1020500,105000
1314,1020600,33483
1315,1020701,30456
1316,1020800,34802
1317,1020901,24787
1318,1021000,34441
1319,1021100,51825
1320,1021200,55591
1321,1021303,42767
1322,1021400,36104
1323,1021500,31875
1324,1021600,39338
1325,1021703,-
1326,1021800,40058
1327,1021900,17306
1328,1022000,35885
1329,1022102,51005
1330,1022200,32572
1331,1022301,27477
1332,1022302,21635
1333,1022400,20355
1334,1022500,38205
1335,1022600,37656
1336,1022700,42289
1337,1022800,33863
1338,1022900,37018
1339,1023000,26745
1340,1023100,38786
1341,1023200,22932
1342,1023300,35278
1343,1023400,41343
1344,1023501,38158
1345,1023502,23500
1346,1023600,38481
1347,1023700,34925
1348,1023801,74109
1349,1023802,101691
1350,1023900,23375
1351,1024000,-
1352,1024100,43805
1353,1024200,21250
1354,1024301,27604
1355,1024302,18720
1356,1024500,33860
1357,1024700,35417
1358,1024900,31200
1359,1025100,37905
1360,1025300,33975
1361,1025500,39059
1362,1025700,54310
1363,1025900,52774
1364,1026100,30313
1365,1026300,26604
1366,1026500,44458
1367,1026700,37000
1368,1026900,27324
1369,1027100,42178
1370,1027300,70644
1371,1027500,85139
1372,1027700,27218
1373,1027900,38994
1374,1028100,81563
1375,1028300,38502
1376,1028500,31514
1377,1028700,50816
1378,1029100,34387
1379,1029300,34070
1380,1029500,59341
1381,1029700,-
1382,1029900,25121
1383,1030300,51757
1384,1030700,62139
1385,1030900,34354
1386,1031100,-
1387,1031703,188144
1388,1031704,149364
1389,1031900,-
1390,4000100,123929
1391,4000200,47531
1392,4000400,60651
1393,4000600,49375
1394,4000700,62031
1395,4000800,60169
1396,4001000,56029
1397,4001200,54821
1398,4001400,59079
1399,4001600,49792
1400,4001800,48393
1401,4001900,81731
1402,4002000,55759
1403,4002200,43269
1404,4002400,78110
1405,4002500,19715
1406,4002600,88304
1407,4002800,54398
1408,4003000,76014
1409,4003100,55184
1410,4003200,64559
1411,4003300,58793
1412,4003400,61742
1413,4003600,53650
1414,4003700,-
1415,4003800,51063
1416,4003900,32277
1417,4004001,54675
1418,4004002,62674
1419,4004200,50469
1420,4004300,13859
1421,4004401,53678
1422,4004500,76731
1423,4004700,27014
1424,4005000,-
1425,4005100,37109
1426,4005200,48750
1427,4005300,58973
1428,4005400,56743
1429,4005500,50591
1430,4005700,47235
1431,4005800,67623
1432,4005900,57841
1433,4006100,51903
1434,4006201,55527
1435,4006202,55884
1436,4006300,47016
1437,4006501,54802
1438,4006502,63651
1439,4006900,43587
1440,4007100,43396
1441,4007300,56420
1442,4007500,44120
1443,4007700,64844
1444,4007900,40625
1445,4008100,56507
1446,4008300,50259
1447,4008500,40625
1448,4008600,66020
1449,4008700,22383
1450,4008800,74129
1451,4009100,66477
1452,4009400,50184
1453,4009500,57938
1454,4009600,53953
1455,4009700,65221
1456,4009800,54031
1457,4009900,-
1458,4010000,80150
1459,4010100,56393
1460,4010200,51667
1461,4010300,48258
1462,4010400,53581
1463,4010500,39091
1464,4010600,51792
1465,4010701,-
1466,4010800,52361
1467,4011000,49375
1468,4011100,78125
1469,4011200,44837
1470,4011300,57425
1471,4011400,60699
1472,4011500,54510
1473,4011600,43250
1474,4011700,64310
1475,4011800,62443
1476,4011900,47604
1477,4012000,72237
1478,4012100,53527
1479,4012200,43750
1480,4012301,65379
1481,4012400,57316
1482,4012500,56154
1483,4012601,54805
1484,4012602,53155
1485,4012800,59659
1486,4013000,82083
1487,4013200,56012
1488,4013400,57641
1489,4013500,59136
1490,4013600,41875
1491,4013700,58409
1492,4013800,52439
1493,4014000,58393
1494,4014100,48947
1495,4014201,55188
1496,4014202,49496
1497,4014300,53208
1498,4014400,53861
1499,4014500,55435
1500,4014700,54107
1501,4014800,55653
1502,4014900,47782
1503,4015000,64167
1504,4015100,59384
1505,4015200,51442
1506,4015300,57868
1507,4015400,66417
1508,4015500,63611
1509,4015600,54861
1510,4015700,36552
1511,4015801,48125
1512,4015802,60743
1513,4015900,43876
1514,4016100,51635
1515,4016300,29205
1516,4016400,51058
1517,4016600,54494
1518,4016800,58511
1519,4016900,63180
1520,4017000,48667
1521,4017100,-
1522,4017200,58500
1523,4017400,65719
1524,4017600,61179
1525,4017800,50893
1526,4017900,39146
1527,4018000,43400
1528,4018101,41121
1529,4018102,53910
1530,4018200,51000
1531,4018300,53984
1532,4018401,55298
1533,4018402,52500
1534,4018501,52557
1535,4018502,62807
1536,4018600,57314
1537,4018700,67273
1538,4018800,84837
1539,4018900,52059
1540,4019000,63488
1541,4019200,56250
1542,4019400,62366
1543,4019600,55114
1544,4019800,42226
1545,4019900,52852
1546,4020200,57022
1547,4020400,39286
1548,4020500,48533
1549,4020600,53125
1550,4020800,50417
1551,4021200,48519
1552,4021400,51127
1553,4021600,64428
1554,4021900,-
1555,4022001,55784
1556,4022002,60972
1557,4022900,-
1558,4023000,67857
1559,4023200,68721
1560,4023500,48000
1561,4023600,37107
1562,4023800,41009
1563,4024000,37184
1564,4024300,52235
1565,4024500,37344
1566,4024600,-
1567,4024700,58839
1568,4024900,64118
1569,4025100,55514
1570,4025301,44000
1571,4025302,47021
1572,4025400,26644
1573,4025500,70045
1574,4025700,68542
1575,4025800,65673
1576,4025900,52212
1577,4026000,41989
1578,4026100,46161
1579,4026200,49583
1580,4026300,43176
1581,4026400,44894
1582,4026500,40716
1583,4026600,20850
1584,4026700,55722
1585,4026901,44340
1586,4026902,42969
1587,4027000,56607
1588,4027100,37190
1589,4027200,51157
1590,4027300,48136
1591,4027400,66458
1592,4027500,47530
1593,4027600,53164
1594,4027700,40477
1595,4027800,34219
1596,4027900,43165
1597,4028000,76719
1598,4028100,61757
1599,4028200,63889
1600,4028300,46622
1601,4028400,71767
1602,4028500,66346
1603,4028700,43058
1604,4028800,68750
1605,4028900,53574
1606,4029100,49656
1607,4029300,58558
1608,4029400,59000
1609,4029500,68059
1610,4029700,62708
1611,4029900,-
1612,4030600,79116
1613,4030902,51104
1614,4030903,45982
1615,4030904,57772
1616,4031700,68295
1617,4032000,83889
1618,4032700,63750
1619,4032800,69917
1620,4032900,63813
1621,4033000,74058
1622,4033100,-
1623,4033401,60820
1624,4033402,43321
1625,4033700,39702
1626,4033900,56544
1627,4034700,56936
1628,4035100,58070
1629,4035200,59561
1630,4035300,52011
1631,4035700,49045
1632,4035800,68565
1633,4036100,40114
1634,4036300,63355
1635,4036500,63275
1636,4036600,52531
1637,4036700,57105
1638,4036800,70104
1639,4037100,55500
1640,4037300,57284
1641,4037500,40774
1642,4037600,76104
1643,4037700,42414
1644,4037900,51866
1645,4038100,43253
1646,4038301,-
1647,4038302,100000
1648,4038400,69489
1649,4039400,60417
1650,4039800,60000
1651,4039900,42169
1652,4040000,52386
1653,4040100,43081
1654,4040200,84412
1655,4040300,51307
1656,4040400,58969
1657,4040500,47560
1658,4040700,47888
1659,4040900,44821
1660,4041100,36875
1661,4041300,61944
1662,4041400,44647
1663,4041500,57683
1664,4042400,93971
1665,4042600,-
1666,4042700,47409
1667,4043200,79741
1668,4043400,82969
1669,4043701,60625
1670,4043702,43837
1671,4043900,40217
1672,4044000,51855
1673,4044301,24243
1674,4044302,52879
1675,4044400,22421
1676,4044601,34545
1677,4044602,39157
1678,4044800,44435
1679,4045000,50240
1680,4045200,65000
1681,4045400,45568
1682,4045500,49235
1683,4045600,53333
1684,4045700,46506
1685,4045800,77857
1686,4045900,57121
1687,4046000,28308
1688,4046100,48661
1689,4046200,40163
1690,4046300,45020
1691,4046400,71146
1692,4046500,48125
1693,4046600,64427
1694,4046700,43464
1695,4046800,47813
1696,4046900,38750
1697,4047000,56684
1698,4047100,32565
1699,4047200,64345
1700,4047300,55488
1701,4047500,46250
1702,4047600,131250
1703,4047800,47259
1704,4047900,58638
1705,4048000,61181
1706,4048100,40394
1707,4048200,56607
1708,4048300,47989
1709,4048400,62284
1710,4048500,53750
1711,4048900,42459
1712,4049200,52615
1713,4049301,63865
1714,4049302,40179
1715,4049500,64007
1716,4049600,65625
1717,4049700,60081
1718,4049900,51921
1719,4050000,41883
1720,4050201,96445
1721,4050202,68242
1722,4050400,68482
1723,4050500,72846
1724,4050600,61613
1725,4050700,75556
1726,4050800,56667
1727,4051000,88250
1728,4051100,56000
1729,4051200,76927
1730,4051300,59297
1731,4051500,60893
1732,4051600,79942
1733,4051700,65714
1734,4051800,70875
1735,4052000,87391
1736,4052100,64318
1737,4052200,97000
1738,4052400,66250
1739,4052500,75882
1740,4052600,78750
1741,4052800,46786
1742,4053000,57917
1743,4053100,52656
1744,4053200,85685
1745,4053401,78000
1746,4053500,37430
1747,4053601,89167
1748,4053800,81544
1749,4053900,63351
1750,4054000,59531
1751,4054200,72694
1752,4054500,42717
1753,4054700,44280
1754,4054800,90893
1755,4054900,43271
1756,4055100,37143
1757,4055200,57938
1758,4055300,30417
1759,4055400,76538
1760,4055500,47000
1761,4055600,72162
1762,4055700,38917
1763,4055800,83125
1764,4055900,26103
1765,4056000,74590
1766,4056100,105625
1767,4056200,76611
1768,4056400,70500
1769,4056500,37120
1770,4056600,86154
1771,4056700,61418
1772,4056800,65956
1773,4057700,51525
1774,4057900,26686
1775,4058000,84028
1776,4058100,50292
1777,4058200,64178
1778,4058300,62500
1779,4058500,54784
1780,4058700,43924
1781,4058900,45273
1782,4059000,74286
1783,4059100,47432
1784,4059200,85909
1785,4059300,53458
1786,4059400,84482
1787,4059500,56496
1788,4059600,91094
1789,4059800,63400
1790,4059900,78333
1791,4060000,60905
1792,4060100,61875
1793,4060300,50663
1794,4060600,77083
1795,4060701,-
1796,4060800,101500
1797,4061000,88510
1798,4061200,64893
1799,4061301,63617
1800,4061302,-
1801,4061400,103802
1802,4061601,103714
1803,4061602,73250
1804,4061800,60300
1805,4061900,53250
1806,4062000,97647
1807,4062100,49944
1808,4062200,82188
1809,4062300,51926
1810,4062400,-
1811,4062500,62423
1812,4062600,82008
1813,4062700,59861
1814,4062900,50395
1815,4063000,79596
1816,4063200,84833
1817,4063301,65893
1818,4063302,69357
1819,4063500,65380
1820,4063700,54638
1821,4063800,79278
1822,4063900,66075
1823,4064101,55625
1824,4064102,26250
1825,4064500,83864
1826,4064600,75882
1827,4065000,94531
1828,4065400,83517
1829,4065501,-
1830,4065600,87485
1831,4065702,45709
1832,4065703,71548
1833,4065900,76891
1834,4066000,86389
1835,4066100,68977
1836,4066300,62647
1837,4066400,81682
1838,4066501,65500
1839,4066701,77865
1840,4066900,62656
1841,4067100,67500
1842,4067700,84667
1843,4067900,44667
1844,4068000,75658
1845,4068200,90385
1846,4068300,53750
1847,4068700,64151
1848,4069000,75781
1849,4069300,53427
1850,4069400,79602
1851,4069500,56125
1852,4069701,46431
1853,4069702,69840
1854,4070300,64728
1855,4070700,89107
1856,4070900,101739
1857,4071100,71655
1858,4071303,65886
1859,4071304,57095
1860,4071305,79323
1861,4071306,55404
1862,4071600,-
1863,4071701,53667
1864,4071702,43382
1865,4071900,31429
1866,4072100,60194
1867,4072300,139875
1868,4072900,84766
1869,4073100,95938
1870,4073700,75202
1871,4073900,90286
1872,4074100,66172
1873,4074300,51360
1874,4074500,43071
1875,4074700,62929
1876,4074900,114167
1877,4075701,72063
1878,4075702,66583
1879,4076901,75506
1880,4076902,72813
1881,4077300,61506
1882,4077500,42451
1883,4077902,75337
1884,4077903,62655
1885,4077904,55714
1886,4077905,69538
1887,4077906,47050
1888,4077907,51125
1889,4077908,40348
1890,4078800,54594
1891,4079000,58750
1892,4079200,70000
1893,4079300,-
1894,4079701,49297
1895,4079702,32133
1896,4079900,58696
1897,4080301,53298
1898,4080302,52069
1899,4080900,59432
1900,4081400,61213
1901,4081800,64667
1902,4083700,51500
1903,4083800,64712
1904,4084000,57868
1905,4084500,34899
1906,4084601,94602
1907,4084602,62995
1908,4084900,47035
1909,4085300,39861
1910,4085500,47802
1911,4085700,33545
1912,4085900,34986
1913,4086100,46935
1914,4086300,32518
1915,4086400,63060
1916,4086500,27398
1917,4086900,46650
1918,4087100,16063
1919,4088400,72052
1920,4088901,50803
1921,4089200,92745
1922,4090700,45398
1923,4091601,86941
1924,4091602,-
1925,4091800,-
1926,4091900,65597
1927,4092200,114375
1928,4092500,50611
1929,4092800,119954
1930,4092900,79622
1931,4093401,85203
1932,4093402,79250
1933,4093800,42004
1934,4093900,70667
1935,4094201,52850
1936,4094202,48583
1937,4094203,49180
1938,4094500,72023
1939,4094700,56389
1940,4095400,46210
1941,4096400,69209
1942,4097202,18370
1943,4097203,18976
1944,4097204,40759
1945,4097300,91136
1946,4098100,72500
1947,4098700,86328
1948,4099100,86385
1949,4099200,43964
1950,4099701,70000
1951,4099703,89409
1952,4099704,67179
1953,4099705,99478
1954,4099801,52042
1955,4099802,20589
1956,4099900,-
1957,4100801,78730
1958,4100802,58281
1959,4101001,34774
1960,4101002,23750
1961,4101700,63310
1962,4102900,81528
1963,4103201,24152
1964,4103202,48973
1965,4103300,73328
1966,4103900,68958
1967,4104700,73912
1968,4105900,78125
1969,4107201,78203
1970,4107202,-
1971,4108500,83264
1972,4109300,94821
1973,4109700,84095
1974,4109900,56369
1975,4111300,121200
1976,4112300,69602
1977,4112900,78723
1978,4113300,87813
1979,4113900,66429
1980,4114100,97500
1981,4114700,110344
1982,4115100,88750
1983,4115500,84459
1984,4115700,65669
1985,4115900,47833
1986,4116100,43115
1987,4116300,34147
1988,4116700,55523
1989,4117100,51721
1990,4117500,58039
1991,4118100,55885
1992,4118500,50867
1993,4118700,63958
1994,4118900,59048
1995,4119100,53354
1996,4119300,58438
1997,4119500,82946
1998,4119900,68529
1999,4120100,43281
2000,4120300,56607
2001,4120500,38000
2002,4120700,83810
2003,4121100,-
2004,4121500,57566
2005,4122300,83929
2006,4122701,49294
2007,4122702,22428
2008,4124100,73092
2009,4124700,87143
2010,4125700,52900
2011,4126500,41283
2012,4126700,90357
2013,4127700,99375
2014,4128300,130096
2015,4129102,106250
2016,4129103,69700
2017,4129104,74812
2018,4130100,71849
2019,4133300,82404
2020,4133900,96328
2021,4134100,80461
2022,4134700,55777
2023,4136700,64861
2024,4137700,66648
2025,4138501,79926
2026,4138502,-
2027,4139900,75069
2028,4140300,74901
2029,4140901,64643
2030,4140902,74825
2031,4141700,85671
2032,4142900,60000
2033,4143500,79375
2034,4144100,68125
2035,4144700,59567
2036,4145101,57617
2037,4145102,78547
2038,4145900,81350
2039,4146300,66875
2040,4146700,58785
2041,4147100,68942
2042,4147900,81585
2043,4148300,136053
2044,4150701,106071
2045,4150702,84648
2046,4152901,76607
2047,4152902,82514
2048,4155101,61912
2049,4155102,76373
2050,4156700,74583
2051,4157101,77545
2052,4157102,67208
2053,4157901,81027
2054,4157902,75652
2055,4157903,77121
2056,4161700,95702
2057,4162100,69124
2058,4990100,-
2059,5000300,53953
2060,5000600,39028
2061,5000700,37650
2062,5000800,67530
2063,5000900,78750
2064,5001100,36458
2065,5001700,51250
2066,5001800,54009
2067,5002001,66278
2068,5002002,83295
2069,5002100,45662
2070,5002700,31250
2071,5002900,33902
2072,5003300,63226
2073,5003600,80595
2074,5003900,62500
2075,5004000,37035
2076,5004700,69066
2077,5005000,66083
2078,5005900,77917
2079,5006400,49457
2080,5006700,87375
2081,5007000,65823
2082,5007400,72321
2083,5007500,58333
2084,5007700,54761
2085,5008100,41500
2086,5009601,54375
2087,5009602,58972
2088,5009700,79567
2089,5010500,54868
2090,5011201,72891
2091,5011202,78421
2092,5011401,47071
2093,5011402,73403
2094,5012100,91786
2095,5012200,80735
2096,5012500,56779
2097,5012804,74261
2098,5012805,77788
2099,5012806,59014
2100,5013201,72199
2101,5013203,84351
2102,5013204,81172
2103,5013301,18039
2104,5013302,62552
2105,5013400,71844
2106,5013800,98182
2107,5014100,44573
2108,5014604,90072
2109,5014605,86316
2110,5014606,92871
2111,5014607,83475
2112,5014608,92262
2113,5014700,99219
2114,5015100,89229
2115,5015400,-
2116,5015601,77500
2117,5015602,85203
2118,5015603,94031
2119,5016901,54119
2120,5017005,99813
2121,5017007,73600
2122,5017008,90876
2123,5017009,77111
2124,5017010,92854
2125,5017011,84718
2126,5017012,75781
2127,5017300,35417
2128,5017600,99583
2129,5017700,92388
2130,5018100,96551
2131,5018701,84773
2132,5018702,85500
2133,5018901,77861
2134,5018902,80313
2135,5019700,84583
2136,5019800,104569
2137,5020100,87096
2138,5020700,38092
2139,5020801,68399
2140,5020803,87516
2141,5020804,97083
2142,5021300,59508
2143,5022300,62500
2144,5022600,77550
2145,5022800,"250,000"
2146,5023100,57793
2147,5023900,58636
2148,5024401,103769
2149,5024402,79508
2150,5024700,62727
2151,5024800,81856
2152,5025100,81217
2153,5027301,82656
2154,5027302,93109
2155,5027702,65032
2156,5027704,92406
2157,5027705,84891
2158,5027706,63958
2159,5027900,85391
2160,5029102,78063
2161,5029103,72588
2162,5029104,71491
2163,5030301,65987
2164,5030302,72467
2165,5031901,31219
2166,5031902,38571
2167,5032300,30875
2168,5990100,-